Power Plant ,Plant Key ,Technology Type ,Operating Capacity,Net Generation,Capacity Factor (%),Heat Rate for Electricity (Btu/kWh),Non-Fuel Variable O&M Cost ($),Fuel Costs ($),Fixed O&M Cost ($),Total Operating & Maintenance Expense ($),Primary Fuel Type ,Marginal Price
Green Mountain Battery Storage System,-115229,Other,NA,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Green Valley Landfill,-9866,Internal Combustion,2.4,16172,76.92,11934.39,213209.11,702520,23860.86,939589.96,Biomass,56.62435753
Greene Valley Gas Recovery,-3706,Gas Turbine,6.6,39678,68.63,18512.4,55687.91,2575825.98,77998.59,2709512.48,Biomass,66.32173723
Greenup Hydro,-111873,Hydraulic Turbine,70.2,228454,37.15,NA,1033797.31,0,578391.42,1612188.72,Water,4.525188047
Greenup Hydro,-111872,Hydraulic Turbine,70.2,228454,37.15,NA,1033797.31,0,578391.42,1612188.72,Water,4.525188047
Greenville Electric Generating Station,-12180,Gas Turbine,236,42378,2.05,10381.5,294197.85,1781134.1,765479.27,2840811.21,Gas,48.97191821
GSG Wind Farm,-98925,Wind Turbine,80,183624,26.2,NA,528855.9,0,1581249.45,2110105.35,Wind,2.880102274
H.L. Spurlock,-3749,Steam Turbine,1346,5568642,47.23,10732.27,18039872.08,135558411.2,38522147.69,192120430.9,Coal,27.58271824
Hackensack Solar Farm,-43942,Solar,1.06,NA,NA,NA,NA,NA,28021.44,NA,Solar,#VALUE!
Hagerstown - KHL987,-18933,Solar,0.21,NA,NA,NA,NA,NA,5551.42,NA,Solar,#VALUE!
Halifax,-58734,Hydraulic Turbine,1.6,2653,18.93,NA,98318.39,0,173255.32,271573.71,Water,37.05932529
Halifax County Biomass Plant (South Boston- NOVI Energy),-22463,Steam Turbine,44.3,255258,65.78,13366.51,1107739,21756339.84,354966.23,23219045.07,Biomass,89.57242805
Hall's Corp Solar - I Facility,-45049,Solar,1.7,1507,10.12,NA,0,0,44940.05,44940.05,Solar,0
Hamilton,-107139,Gas Turbine,24,0,0,17674.75,0,55336.72,185241.79,240578.51,Oil,#DIV/0!
Hamilton Peaking,-3776,Gas Turbine,32,1564,0.56,12677.75,52666.58,56126.19,143284.98,252077.75,Gas,69.56059463
Hamilton Township Solar Project,-23987,Solar,7.5,NA,NA,NA,NA,NA,198264.92,NA,Solar,#VALUE!
"Hamilton, OH CT",-3778,Gas Turbine,16,657,0.47,32414,68376.52,58751.64,182811.45,309939.61,Gas,193.4979604
"Hamilton, OH Hydro",-3779,Hydraulic Turbine,2,4152,23.7,NA,144684.05,0,92982.54,237666.59,Water,34.84683285
Hamlet,-9987,Gas Turbine,366.6,63490,1.98,11094.99,438130.77,5730923.62,1142485.54,7311539.93,Gas,97.16576453
Hancock County Generating Station,-65908,Internal Combustion,3.2,NA,NA,11075,NA,NA,135094.34,NA,Biomass,#VALUE!
Handcraft Facility,-3786,Gas Turbine,3.46,NA,NA,11315,NA,NA,15859.94,NA,Gas,#VALUE!
Handsome Lake Energy,-36186,Gas Turbine,267.5,155846,6.65,10987.54,386280.03,2910046.24,858507.66,4154833.93,Gas,21.15117661
Hanging Rock,-88878,Combined Cycle,1366,9182371,76.74,7769.11,5640106.33,201935564.9,12259099.68,219834770.9,Gas,22.60589027
Hannibal Hydroelectric Project,-5382,Hydraulic Turbine,37.4,112859,34.45,NA,821563.66,0,337753.32,1159316.98,Water,7.27955821
Hanover,-100316,Solar,5,1567,10.7,NA,0,0,44179.58,44179.58,Solar,0
Hardison Farm Solar Project,-93399,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Harford Waste to Energy Facility,-42248,Steam Turbine,1.1,0,0,4364.75,0,21148.94,64155.37,85304.31,Biomass,#DIV/0!
Harmon DC Totowa NJ,-65055,Solar,1.5,1884,14.34,NA,0,0,39652.98,39652.98,Solar,0
Harmony PV,-89422,Solar,3,2479,16.09,NA,0,0,46497.2,46497.2,Solar,0
Harpster Wind Project,-104435,Wind Turbine,NA,NA,NA,NA,NA,NA,NA,NA,Wind,#VALUE!
Harrisburg,-93159,Gas Turbine,58,569,0.11,17275.92,118285.93,117503.42,323093.18,558882.53,Oil,414.3925308
Harrison,-87399,Steam Turbine,1984,11269955,64.85,10428.2,12403095,263145547.3,46334064,321882706.3,Coal,24.44984406
Hartz Way Solar Project,-114006,Solar,0.9,NA,NA,NA,NA,NA,23791.79,NA,Solar,#VALUE!
Harwood,-93177,Gas Turbine,30,199,0.08,17934.67,49355.62,43000.95,237693.96,330050.53,Oil,464.1033668
Haverhill Cogeneration Facility,-107493,Steam Turbine,53,358490,77.21,11354.74,1787486.02,442615.11,619742.72,2849843.85,Other Nonrenewable,6.220818238
Haverhill Cogeneration Facility,-107492,Steam Turbine,53,358490,77.21,11354.74,1787486.02,442615.11,619742.72,2849843.85,Other Nonrenewable,6.220818238
Haverhill Cogeneration Facility,-107491,Steam Turbine,53,358490,77.21,11354.74,1787486.02,442615.11,619742.72,2849843.85,Other Nonrenewable,6.220818238
Haviland Plastic Products Wind Farm,-59630,Wind Turbine,4.5,14667,37.21,NA,65049.01,0,137833.48,202882.48,Wind,4.435058976
Hawks Nest Hydro,-111599,Hydraulic Turbine,96.8,527024,62.15,NA,1315477.57,0,909115.35,2224592.92,Water,2.4960487
Hawks Nest Hydro,-111598,Hydraulic Turbine,96.8,527024,62.15,NA,1315477.57,0,909115.35,2224592.92,Water,2.4960487
Hay Road,-21088,Combined Cycle,1136,4236855,42.58,8008.45,5609218.87,105923986.2,11480558.37,123013763.4,Gas,26.32452729
Hazle Township Flywheel Energy Storage,-36035,Other,20,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Hazleton Cogeneration,-86986,Gas Turbine,150.9,743,0.06,17113.06,184277.5,77263.71,539429.62,800970.83,Gas,352.0070121
Headwaters Wind Farm,-102817,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Headwaters Wind Farm,-90170,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Headwaters Wind Farm,-90169,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Headwaters Wind Farm,-90167,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Headwaters Wind Farm,-90166,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Headwaters Wind Farm,-82703,Wind Turbine,200,645558,36.85,NA,919618.61,0,3353848.97,4273467.58,Wind,1.4245329
Heat Plant 770 ST,-48158,Steam Turbine,2,0,0,10247,0,0,58480.04,58480.04,Gas,#DIV/0!
Hebron Solar Farm,-111515,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Heller Edison Solar Park,-22552,Solar,1.5,NA,NA,NA,NA,NA,39652.98,NA,Solar,#VALUE!
Henrico Landfill Project,-90894,Internal Combustion,3.6,14363,45.54,10387.11,211660.06,634490.04,44237.28,890387.38,Biomass,58.91179419
Henrico Landfill Project,-90893,Internal Combustion,3.6,14363,45.54,10387.11,211660.06,634490.04,44237.28,890387.38,Biomass,58.91179419
Herbert A Wagner,-91158,Steam Turbine,946,1457693,17.59,10764.98,12435473.51,52837889.01,25837933.61,91111296.13,Coal,44.77853877
Herbert A Wagner CT,-91161,Gas Turbine,12.9,798,0.71,17215.54,69718.17,166149.55,176293.26,412160.98,Oil,295.573584
Herbert Farm Solar Project (Hughesville),-27587,Solar,5.5,8466,17.57,NA,0,0,145394.27,145394.27,Solar,0
High Trail Wind Farm (Twin Groves I),-102836,Wind Turbine,198,592258,34.15,NA,1061698.95,0,3541411.29,4603110.23,Wind,1.792629141
High Trail Wind Farm (Twin Groves I),-46103,Wind Turbine,198,592258,34.15,NA,1061698.95,0,3541411.29,4603110.23,Wind,1.792629141
High Trail Wind Farm (Twin Groves I),-46101,Wind Turbine,198,592258,34.15,NA,1061698.95,0,3541411.29,4603110.23,Wind,1.792629141
High Trail Wind Farm (Twin Groves I),-45973,Wind Turbine,198,592258,34.15,NA,1061698.95,0,3541411.29,4603110.23,Wind,1.792629141
High Trail Wind Farm (Twin Groves I),-45971,Wind Turbine,198,592258,34.15,NA,1061698.95,0,3541411.29,4603110.23,Wind,1.792629141
Highland North Wind Farm,-69873,Wind Turbine,75,192313,29.27,NA,397443.81,0,1340487.89,1737931.7,Wind,2.066650772
Highland Wind Project,-69877,Wind Turbine,62.5,129457,23.65,NA,405799.24,0,1227465.94,1633265.18,Wind,3.134625706
Highway 92 Solar Farm,-86134,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Hill at Whitemarsh,-99221,Internal Combustion,1.6,220,1.57,11318.18,16334.92,7250.65,15907.24,39492.81,Gas,107.2071364
Hill Sunbury Solar Farm (SolNCPower6),-95263,Solar,5,530,2.89,NA,0,0,55405.54,55405.54,Solar,0
Hillsborough,-18951,Solar,0.26,NA,NA,NA,NA,NA,6873.18,NA,Solar,#VALUE!
HMV Minster Battery Energy Storage System,-114011,Other,NA,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
HMW Minster PV I,-97391,Solar,3,5,0.22,NA,0,0,6735.58,6735.58,Solar,0
Hoffer Plastics,-3952,Internal Combustion,7.2,3614,5.73,11523.24,105140.73,122841.38,80028.56,308010.67,Gas,63.08304095
Hoffmann LaRoche Inc.,-3953,Gas Turbine,10.6,33046,35.59,4750.62,46379.93,668876.29,65832.68,781088.9,Gas,21.64426012
Hoge Lumber Company,-3957,Steam Turbine,1.5,417,3.17,86582.73,28939.72,175258.57,311723.21,515921.49,Biomass,489.6841487
Holcomb Rock,-12013,Hydraulic Turbine,1.8,6471,41.04,NA,125121.21,0,194912.23,320033.45,Water,19.33568382
Holland Energy,-14696,Combined Cycle,687.5,490113,8.14,7881.41,293390,11605646.54,10376568,22275604.54,Gas,24.2781492
Holland Energy,-14695,Combined Cycle,687.5,490113,8.14,7881.41,293390,11605646.54,10376568,22275604.54,Gas,24.2781492
Holmdel Solar Power Plant,-25324,Solar,3,4890,18.61,NA,0,0,79305.97,79305.97,Solar,0
Holtwood Hydroelectric Plant,-112129,Hydraulic Turbine,249,856236,39.25,NA,1746610,0,2051559.31,3798169.31,Water,2.039869849
Holtwood Hydroelectric Plant,-112128,Hydraulic Turbine,249,856236,39.25,NA,1746610,0,2051559.31,3798169.31,Water,2.039869849
Holtwood Hydroelectric Plant,-108192,Hydraulic Turbine,249,856236,39.25,NA,1746610,0,2051559.31,3798169.31,Water,2.039869849
Homer City,-101341,Steam Turbine,1901.1,9036684,54.26,10386.96,25770905.23,261170844.4,54702657.93,341644407.5,Coal,31.75299143
Homer City,-66362,Steam Turbine,1901.1,9036684,54.26,10386.96,25770905.23,261170844.4,54702657.93,341644407.5,Coal,31.75299143
Honey Brook Generating Station (Granger),-15487,Internal Combustion,3.2,18426,65.73,15281.61,251749.02,1024936.64,36362.32,1313047.98,Biomass,69.28718441
Hope Creek,-3993,Nuclear,1172,9409357,91.65,10400,66405301.87,78726192,88091675.02,233223168.9,Nuclear,15.42416701
Hopewell - Polyester,-3995,Steam Turbine,51,262577,58.77,15758.34,72224,13058659,214177,13345060,Biomass,50.00774249
Hopewell Cogeneration,-3996,Combined Cycle,399,1506532,43.1,9379.69,2737965.59,55284034.99,5305685.62,63327686.2,Gas,38.51361974
Hopewell Mill (Cogen),-56214,Steam Turbine,40.7,289895,81.31,4693.82,2990154.45,3315401.34,1730188.86,8035744.65,Biomass,21.75117125
Howard Down CT (West Avenue),-16223,Gas Turbine,60.4,77994,14.74,9770.41,109464.27,2471667.77,193355.48,2774487.52,Gas,33.0939821
HP Hood Cogeneration,-94501,Gas Turbine,15,49677,64.48,11373.57,69721.47,1540841.85,45749.58,1656312.9,Gas,32.42070415
Hudson 2,-14758,Steam Turbine,620,345421,6.36,14287.58,3106418.38,19384424.78,16614965.08,39105808.23,Coal,65.11139496
Hunlock Repowering,-55022,Combined Cycle,129.9,903508,79.4,7997.22,673548.97,21040134.45,1395193.33,23108876.75,Gas,24.03264102
Hunterdon Cogeneration Facility,-4035,Gas Turbine,4.1,38,0.11,7078.95,9424.69,1017.01,56031.19,66472.89,Gas,274.7815789
Hunterstown,-107143,Gas Turbine,75,0,0,17604.84,0,14683.49,367213.65,381897.14,Oil,#DIV/0!
Hunterstown CC,-106219,Combined Cycle,810,5095053,71.81,7024.75,3595702.8,51972302.51,7661253.79,63229259.09,Gas,10.90626639
HXOap Solar One (HXOap1.2) (Geenex),-83361,Solar,20,27964,15.96,NA,0,0,528706.45,528706.45,Solar,0
HXOap Solar One (HXOap1.2) (Geenex),-83360,Solar,20,27964,15.96,NA,0,0,528706.45,528706.45,Solar,0
I-95 Energy Resource Recovery Facility (Covanta Fairfax),-4063,Steam Turbine,98,521433,60.74,18762.85,3352719.63,57577017.76,1656404.05,62586141.43,Biomass,116.8505587
I-95 Landfill Phase I,-94618,Internal Combustion,3.2,16347,58.32,13499.6,220447.41,754946.92,27266.63,1002660.96,Biomass,59.66809384
I-95 Landfill Phase I,-43231,Internal Combustion,3.2,16347,58.32,13499.6,220447.41,754946.92,27266.63,1002660.96,Biomass,59.66809384
I-95 Landfill Phase II,-94620,Internal Combustion,3.2,13054,46.57,13222.46,183109.43,604125.34,27916.32,815151.09,Biomass,60.30601884
I-95 Landfill Phase II,-43235,Internal Combustion,3.2,13054,46.57,13222.46,183109.43,604125.34,27916.32,815151.09,Biomass,60.30601884
IESI Blue Ridge Landfill,-99243,Internal Combustion,6.4,47987,85.59,11259.57,621960.08,1951127.36,83119.71,2656207.15,Biomass,53.62051055
IIT Cogeneration Facility,-4080,Gas Turbine,7.4,12,0.02,10416.67,2976.22,368.72,95667.19,99012.13,Gas,278.745
IKEA College Park 411 Solar Project,-105107,Solar,1,1454,16.6,NA,0,0,26435.32,26435.32,Solar,0
IKEA Perryville 460 (Perryville Solar),-105101,Solar,2,5321,30.37,NA,0,0,52870.65,52870.65,Solar,0
IKEA Westhampton 061 Solar Project,-105106,Solar,1.8,2234,14.17,NA,0,0,47583.58,47583.58,Solar,0
IMEA Flora,-109023,Internal Combustion,9,98,0.12,11479.59,56770.08,13520.56,108968.97,179259.61,Oil,717.2514286
IMEA Highland,-13788,Internal Combustion,3.6,0,0,11075,0,0,35075.47,35075.47,Oil,#DIV/0!
IMEA Waterloo,-13789,Internal Combustion,5.4,NA,NA,11075,NA,NA,52613.2,NA,Oil,#VALUE!
IMPA Washington Solar Park,-105912,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Indian River,-107163,Steam Turbine,410,602337,16.77,12043.4,5416899.16,23514354.07,10837263.37,39768516.6,Coal,48.03167202
Indian River GT,-107170,Gas Turbine,20.4,399,0.22,15253.13,77606.45,72620.74,208414.23,358641.42,Oil,376.5092481
Indiana University of Pennsylvania,-4122,Internal Combustion,24,29001,13.79,9455.95,441141.5,554019.2,299029.91,1294190.61,Gas,34.31470294
Industrial Park,-12550,Internal Combustion,13.4,260,0.22,9965.39,95157.51,31292.43,167656.78,294106.73,Oil,486.3459231
Ingersoll Milling Machine Company,-4129,Gas Turbine,4.3,0,0,11315,0,0,19710.33,19710.33,Gas,#DIV/0!
Inner Harbor East Heating,-12040,Internal Combustion,2.1,5,0.03,5400,2896.43,78.62,20553.4,23528.46,Gas,595.01
"ISH Solar Central, LLC",-92894,Solar,1.4,1263,10.3,NA,0,0,37009.45,37009.45,Solar,0
"ISH Solar Central, LLC",-48086,Solar,1.4,1263,10.3,NA,0,0,37009.45,37009.45,Solar,0
Ivorydale,-4163,Steam Turbine,11.8,28939,28,4868.97,260252.39,400833.43,154853,815938.82,Coal,22.84411417
J. Sherman Cooper,-4197,Steam Turbine,341,524509,17.56,10767.23,4716981.29,15652928.86,8213649.57,28583559.72,Coal,38.8361499
J.K. Smith,-4181,Gas Turbine,1032,367264,4.06,12106.31,1324256.63,13441199.13,3196302.7,17961758.47,Gas,40.20392894
J.M. Stuart,-88859,Steam Turbine,2308,9849064,48.71,10302.23,47356129,237032097.7,83429354,367817580.7,Coal,28.87464501
J.M. Stuart,-69143,Steam Turbine,2308,9849064,48.71,10302.23,47356129,237032097.7,83429354,367817580.7,Coal,28.87464501
J.M. Stuart,-30175,Steam Turbine,2308,9849064,48.71,10302.23,47356129,237032097.7,83429354,367817580.7,Coal,28.87464501
J.M. Stuart IC,-114659,Internal Combustion,8.8,980,1.27,11498.98,70401.55,150478.15,86190.42,307070.11,Oil,225.387449
J.M. Stuart IC,-87424,Internal Combustion,8.8,980,1.27,11498.98,70401.55,150478.15,86190.42,307070.11,Oil,225.387449
J.M. Stuart IC,-87407,Internal Combustion,8.8,980,1.27,11498.98,70401.55,150478.15,86190.42,307070.11,Oil,225.387449
Jackson Center,-4208,Internal Combustion,1.8,72,0.46,10194.44,14925.81,8781.39,13347.8,37055.01,Oil,329.2666667
"Jackson, OH",-4213,Internal Combustion,3.6,9,0.03,9111.11,5213.58,975.71,31243.44,37432.73,Oil,687.6988889
Jacobstown Solar Project,-79710,Solar,5,8355,19.08,NA,0,0,132176.61,132176.61,Solar,0
Jakana Solar Farm,-80080,Solar,5,9420,21.51,NA,0,0,132176.61,132176.61,Solar,0
Jake Energy Battery Storage Center,-108799,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Jake Energy Battery Storage Center,-108798,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
Jake Energy Battery Storage Center,-94996,Other,19.8,NA,NA,NA,NA,NA,NA,NA,Other Nonrenewable,#VALUE!
James River Genco,-109430,Steam Turbine,92.6,68146,8.4,9397.47,612846.31,1962341.8,1716580.04,4291768.15,Coal,37.78927758
James River Genco,-109429,Steam Turbine,92.6,68146,8.4,9397.47,612846.31,1962341.8,1716580.04,4291768.15,Coal,37.78927758
James River Genco,-109428,Steam Turbine,92.6,68146,8.4,9397.47,612846.31,1962341.8,1716580.04,4291768.15,Coal,37.78927758
James River Genco,-63869,Steam Turbine,92.6,68146,8.4,9397.47,612846.31,1962341.8,1716580.04,4291768.15,Coal,37.78927758
Jay County,-10761,Internal Combustion,3.2,16586,59.17,12284.03,271538,46437,17235,335210,Biomass,19.17128904
Jefferson Avenue Solar Project,-114074,Solar,1.7,NA,NA,NA,NA,NA,44940.05,NA,Solar,#VALUE!
Jenkins,-93160,Gas Turbine,31,153,0.06,16960.78,37946.78,31292.43,234652.48,303891.69,Oil,452.5438562
Jersey Gardens Phase 1,-69266,Solar,1.7,2259,15.17,NA,0,0,44940.05,44940.05,Solar,0
Jersey Gardens Phase 2,-69257,Solar,2.3,3201,15.89,NA,0,0,60801.24,60801.24,Solar,0
Jersey-Atlantic Wind Farm,-98919,Wind Turbine,7.5,20328,30.94,NA,148822,0,334255.08,483077.08,Wind,7.321035026
Jersey-Atlantic Wind Farm,-85202,Wind Turbine,7.5,20328,30.94,NA,148822,0,334255.08,483077.08,Wind,7.321035026
Jersey-Atlantic Wind Farm,-60086,Wind Turbine,7.5,20328,30.94,NA,148822,0,334255.08,483077.08,Wind,7.321035026
Jersey-Atlantic Wind Farm,-24187,Wind Turbine,7.5,20328,30.94,NA,148822,0,334255.08,483077.08,Wind,7.321035026
JMB Mcguire-Dix-Lakehurst Solar Project,-87681,Solar,11.4,14342,14.36,NA,0,0,301362.68,301362.68,Solar,0
John B Rich Memorial Power Station,-96626,Steam Turbine,80,631819,90.16,7090.06,1752239.5,9263129.42,1342352.78,12357721.7,Coal,17.43437427
John B Rich Memorial Power Station,-63808,Steam Turbine,80,631819,90.16,7090.06,1752239.5,9263129.42,1342352.78,12357721.7,Coal,17.43437427
John B Rich Memorial Power Station,-43237,Steam Turbine,80,631819,90.16,7090.06,1752239.5,9263129.42,1342352.78,12357721.7,Coal,17.43437427
John B Rich Memorial Power Station,-10671,Steam Turbine,80,631819,90.16,7090.06,1752239.5,9263129.42,1342352.78,12357721.7,Coal,17.43437427
John B Rich Memorial Power Station,-8708,Steam Turbine,80,631819,90.16,7090.06,1752239.5,9263129.42,1342352.78,12357721.7,Coal,17.43437427
John E. Amos,-71358,Steam Turbine,2900,14072154,55.39,10053.03,38216168,324923890.8,69176400,432316458.8,Coal,25.80557737
John H Kerr,-4272,Hydraulic Turbine,296.6,363987,14.01,NA,1426288.94,0,2443744.94,3870033.88,Water,3.918516156
Johnson Matthey Cogeneration Facility,-19855,Internal Combustion,6,NA,NA,11075,NA,NA,253301.88,NA,Biomass,#VALUE!
Johnson Matthey Inc Solar,-47869,Solar,4,6929,19.77,NA,0,0,105741.29,105741.29,Solar,0
Johnsonburg Mill,-15387,Steam Turbine,49,244687,57,10589.73,2109229.61,3061692.38,1230422.63,6401344.61,Biomass,21.13280227
Johnston Willis Facility,-4290,Gas Turbine,2.46,NA,NA,11315,NA,NA,11276.14,NA,Gas,#VALUE!
Joliet 29,-107369,Steam Turbine,1044,5466753,59.78,10635.77,7774542.78,93961884.09,11207096.24,112943523.1,Coal,18.61002809
Joliet 9 ST,-107372,Steam Turbine,314,1265697,46.01,11193.3,2745740.89,23602747.87,4117310.71,30465799.47,Gas,20.81737474
Joliet Refinery,-4295,Steam Turbine,17.7,12222,7.88,15147.11,848204.36,0,1335824.58,2184028.93,Other Nonrenewable,69.39980036
Joliet Refinery CT,-13273,Gas Turbine,22,159479,82.75,5754.52,223828.14,0,152379.68,376207.82,Other Nonrenewable,1.403496009
Jordache Enterprises Solar,-65022,Solar,2.3,819,4.06,NA,0,0,60801.24,60801.24,Solar,0
Jordache Enterprises Solar,-65021,Solar,2.3,819,4.06,NA,0,0,60801.24,60801.24,Solar,0
Junction Road Solar Facility (NJRCEV),-103206,Solar,NA,NA,NA,NA,NA,NA,NA,NA,Solar,#VALUE!
Juniata Locomotive Shop,-4311,Steam Turbine,4,0,0,4116.29,0,0,116960.08,116960.08,Coal,#DIV/0!
Kankakee County Landfill Gas Recovery,-4335,Internal Combustion,1.6,7876,56.19,11861.48,96447.85,319000.5,6161.86,421610.21,Biomass,52.74864779
Kankakee Hydroelectric Facility,-4336,Hydraulic Turbine,1.2,1519,14.45,NA,38436.52,0,99463.65,137900.18,Water,25.30383147
KDC Solar Branchburg (Imclone),-98502,Solar,10,13128,14.99,NA,0,0,264353.23,264353.23,Solar,0
Kearny GT,-4361,Gas Turbine,445,720143,18.47,10126.76,1010717.82,30306641.56,1399877.69,32717237.07,Gas,43.48769533
Kearny Landfill Solar Project (NJMC 1A Landfill),-20346,Solar,2.5,3947,18.02,NA,0,0,66088.31,66088.31,Solar,0
Kearny Solar Project,-19523,Solar,0.44,NA,NA,NA,NA,NA,11631.54,NA,Solar,#VALUE!
Kelford Solar Project,-93715,Solar,23.1,NA,NA,NA,NA,NA,51863.93,NA,Solar,#VALUE!
Kelly Solar,-16332,Solar,0.15,NA,NA,NA,NA,NA,3965.3,NA,Solar,#VALUE!
Kendall County Generation Facility,-45249,Combined Cycle,1260,6173794,55.93,7397.96,5392415.43,134724354.7,11462778.03,151579548.2,Gas,22.69540742
Kenilworth Energy Facility,-61121,Combined Cycle,27.5,138372,57.44,10507.51,1112113.61,6014500.84,708739.79,7835354.24,Gas,51.50329872
Kent County Water Treatment Solar Project,-22219,Solar,1.2,1227,11.67,NA,0,0,31722.39,31722.39,Solar,0
Kent County-Kennedyville,-65631,Solar,1,1733,19.78,NA,0,0,26435.32,26435.32,Solar,0
Keystone,-108368,Steam Turbine,1700,9514762,63.89,9927.67,23769698.79,282247920.7,48653302.22,354670921.7,Coal,32.16240401
Keystone,-107375,Steam Turbine,1700,9514762,63.89,9927.67,23769698.79,282247920.7,48653302.22,354670921.7,Coal,32.16240401
Keystone,-92788,Steam Turbine,1700,9514762,63.89,9927.67,23769698.79,282247920.7,48653302.22,354670921.7,Coal,32.16240401
Keystone,-4410,Steam Turbine,1700,9514762,63.89,9927.67,23769698.79,282247920.7,48653302.22,354670921.7,Coal,32.16240401
Keystone IC,-109484,Internal Combustion,11.2,67,0.07,29597.01,38812.2,23556.44,117197.89,179566.52,Oil,930.8752239
Keystone IC,-108370,Internal Combustion,11.2,67,0.07,29597.01,38812.2,23556.44,117197.89,179566.52,Oil,930.8752239
Keystone IC,-107377,Internal Combustion,11.2,67,0.07,29597.01,38812.2,23556.44,117197.89,179566.52,Oil,930.8752239
Keystone IC,-4415,Internal Combustion,11.2,67,0.07,29597.01,38812.2,23556.44,117197.89,179566.52,Oil,930.8752239
Keystone Landfill,-4423,Internal Combustion,4.9,42622,99.3,13563.21,540514.39,2248129.52,51639.53,2840283.44,Biomass,65.42733588
